פריט ,שם פריט ,סוג ,שמ ספק ,ספק ,תאריך הוזמ.
100001,‏לפתן אננס פלחים A10,‏ליפתנים,‏אהרון שלום תבליני חגית,8011025,01/12/2019
100002,‏לפתן אננס קוביות-A10-,‏ליפתנים,‏אהרון שלום תבליני חגית,8011025,11/11/2019
100005,‏לפתן אגסים A10,‏ליפתנים,‏אהרון שלום תבליני חגית,8011025,01/12/2019
100006,‏לפתן משמש חצאים A9,‏ליפתנים,‏אהרון שלום תבליני חגית,8011025,25/11/2019
100007,‏לפתן קוקטייל פירות A10,‏ליפתנים,"‏ג.ויליפוד אינטרנשיונל בע""מ",8030033,11/11/2019
100009,‏לפתן שזיפים A10,‏ליפתנים,‏אהרון שלום תבליני חגית,8011025,04/11/2019
100011,‏לפתן אפרסק חצאים A-9,‏ליפתנים,"‏ג.ויליפוד אינטרנשיונל בע""מ",8030033,14/10/2019
102011,‏זית ירוק טבעות 9 ליטר,‏כבושים,‏אהרון שלום תבליני חגית,8011025,16/10/2019
102012,‏זית סורי שבור ירוק 1/12,‏כבושים,"‏ג.ויליפוד אינטרנשיונל בע""מ",8030033,09/09/2019
102013,‏זית קלמנטה 1/13,‏כבושים,‏אהרון שלום תבליני חגית,8011025,09/09/2019
102016,‏זית שחור טבעות 9 ליטר,‏כבושים,"‏ג.ויליפוד אינטרנשיונל בע""מ",8030033,16/12/2019
102017,‏חציל כבוש 9ליטר,‏כבושים,‏אהרון שלום תבליני חגית,8011025,16/09/2019
102020,‏כרוב כבוש A 10,‏כבושים,"‏ג.ויליפוד אינטרנשיונל בע""מ",8030033,01/12/2019
102023,‏עגבניות קוביות A-9,‏כבושים,‏אהרון שלום תבליני חגית,8011025,23/12/2019
102027,‏פטריות חתוכות A-9,‏כבושים,"‏ג.ויליפוד אינטרנשיונל בע""מ",8030033,01/12/2019
102028,‏פטריות שלמות A-9,‏כבושים,"‏ג.ויליפוד אינטרנשיונל בע""מ",8030033,01/12/2019
102029,‏פלפל שיפקה 9 ליטר,‏כבושים,"‏ג.ויליפוד אינטרנשיונל בע""מ",8030033,04/11/2019
102030,‏רסק עגבניות %A-9 22,‏כבושים,‏אהרון שלום תבליני חגית,8011025,23/10/2019
102031,‏תירס גמדי שלם A-10,‏כבושים,‏אהרון שלום תבליני חגית,8011025,01/12/2019
102032,‏תירס גרעינים A-9,‏כבושים,‏אהרון שלום תבליני חגית,8011025,23/12/2019
102047,‏מלפפון במלח /בחומץ 81/95 9 ליטר,‏כבושים,‏אהרון שלום תבליני חגית,8011025,16/10/2019
